replicate_number,replicate_value
1,0.7848149342006856
2,0.846493489292091
3,0.9338731955638034
4,0.9181112872506647
5,0.8318455341468605
6,0.8215497577463508
7,0.8010043303940799
8,0.8378486709036274
9,0.7001709941320307
10,0.7303736836615432
11,0.8084351576483567
12,0.9074471107875998
13,1.0042513911744892
14,0.9137615004792582
15,0.9543397056412912
16,0.719805274069222
17,0.7224958126039661
18,0.6112723265978973
19,0.9307065245058407
20,0.9529371710674736
21,0.8507899770414311
22,0.752808829398506
23,0.8882071650627568
24,0.9395803844309429
25,0.9805901797124557
26,0.8543680924594881
27,0.7128385258401848
28,0.8218787642112698
29,0.8170495430144148
30,0.7091255080210722
31,0.7327578676631653
32,0.770205288241216
33,0.8108325591205763
34,0.6210026314806126
35,0.9461152377611374
36,0.753057989134491
37,0.7883417826216921
38,0.9665213453004878
39,0.9263720375895523
40,0.7498241005263538
41,0.7386117258363574
42,0.8878367503183189
43,0.9361913430521858
44,0.8166426859202907
45,0.9224977645436471
46,0.851009585889632
47,0.7597873604490164
48,0.7367376279370252
49,0.8056387225025655
50,0.781442647229095
51,0.9088845518996963
52,1.055148598421142
53,0.7968461520701511
54,0.7368639150914917
55,0.8181020435316617
56,0.7909451719404176
57,0.5977412296097075
58,0.6215973217992107
59,0.7304812835299272
60,0.8585108376479912
61,0.9980841426887703
62,0.7367724529531684
63,0.6594234071062763
64,0.7924957557595333
65,0.9113705464208357
66,0.6912211297431563
67,0.7108108448469674
68,0.9504894862779577
69,0.6865271874418418
70,0.9531149770734314
71,0.8222607156598168
72,0.7726008792067206
73,0.8700886766644921
74,0.70865501956875
75,0.8976588064600763
76,0.8401352100583184
77,0.968257622624792
78,0.8350388299477396
79,0.8495810031095199
80,0.7998466774505991
81,0.7464820923625989
82,0.7844068164950254
83,0.7927841088562749
84,0.8062918962969644
85,0.7518736790751351
86,0.9488084164523254
87,1.0121963869451798
88,0.7785932924905223
89,0.9688073526237266
90,0.6696488940027776
91,0.7381327119427307
92,0.8896217275940163
93,0.9028090690728781
94,0.770543285329483
95,0.6512532184691776
96,0.8802834129326038
97,0.9308903185354409
98,0.7646169439465548
99,0.8284374126223387
100,0.705047359522815
