replicate_number,replicate_value
1,1.8389477303375152
2,1.575054992299091
3,1.7245706027815764
4,1.2003398061202144
5,1.9620210598482473
6,2.2660126450224385
7,1.7155938345857715
8,1.6375654488665172
9,1.8203952388026288
10,1.8473815196808399
11,1.5391627578994422
12,2.5268639240171744
13,2.722879075872092
14,2.1642629198083343
15,2.0287949732278157
16,1.519643396670319
17,1.848478897258965
18,2.871433306268552
19,1.9358499248508385
20,2.370168425887278
21,2.4494154466273876
22,1.5888203518577164
23,2.6961729584648517
24,1.731014040825885
25,1.3638017576698267
26,2.0230073366333303
27,1.7874097398185465
28,1.4008259843092383
29,1.619223557994938
30,1.8421404439168843
31,1.4784877166536274
32,1.8951041803807813
33,1.3765461385435434
34,1.9138627516481315
35,2.014579812829333
36,2.1050037773121306
37,1.673319824954325
38,1.1420677067021063
39,2.1672691204072967
40,1.7314006115421372
41,2.3771913947060526
42,1.4263191836811793
43,1.480729412841165
44,2.1627702318371287
45,1.8317347745913641
46,1.4683021318972516
47,2.005916553286548
48,1.9626918794522457
49,1.8320103127763514
50,2.291392894305677
51,1.4892336269715138
52,1.9832995384856738
53,2.9526704810711784
54,0.9999427652935517
55,1.4741819683491204
56,1.5545087499055197
57,1.951012175274624
58,2.5741744197194794
59,1.629604095860265
60,1.375082859892192
61,1.7949268415170285
62,1.6287469698912274
63,1.5542279171806266
64,1.9197022971427007
65,2.027825399978964
66,1.7087740900632218
67,2.0861490885889764
68,1.9347717862139675
69,1.72109757510177
70,1.6970643872799887
71,1.9939138661266584
72,2.289657624252036
73,1.577004632693358
74,2.4407075281779704
75,1.5264554982739706
76,1.7419148105802562
77,1.7588233163696299
78,2.2535430939431054
79,1.7608064816128368
80,1.7845788024901568
81,1.1181868587580224
82,2.0671271915093046
83,1.5833666761570857
84,2.0400983970497264
85,2.513873104457409
86,1.8075478394733178
87,1.514126297860866
88,1.964858671639138
89,2.0329722083535384
90,1.35464408518084
91,1.716649518505381
92,1.7031160641074121
93,1.2789700647684104
94,1.5870149068389605
95,1.9656438697662546
96,1.9459081668552387
97,1.7957493825055073
98,1.758050017047149
99,1.944957504195245
100,1.5829286699222256
101,2.0072068410572506
102,1.2820941185043413
103,1.6443514615312516
104,1.8855484717588216
105,1.5453474948338364
106,1.505204201061035
107,2.085845605712141
108,2.459311921813339
109,1.7429635291170247
110,2.400291102603763
111,1.6199121676388428
112,1.7079102214727326
113,1.4539267570368823
114,1.834775997551793
115,1.6946366006810993
116,1.3614297123368955
117,1.9570895519368392
118,1.9171794081997808
119,2.4254691363724294
120,1.6256488882901154
121,2.9178085114075727
122,2.4884750225335113
123,1.4238311730724549
124,2.1499790794798863
125,2.5961595271900504
126,1.749403876254897
127,1.8236048920913734
128,2.113071431102279
129,1.7206852335538094
130,1.7586838404581953
131,2.967002604852304
132,1.3921709925066563
133,1.0856641643608058
134,2.435196149728539
135,2.474157481615472
136,1.9532056215240385
137,2.0545570115541403
138,1.4120583813161678
139,1.7909419379757023
140,1.7678654162061633
141,1.941477858530902
142,1.7135630579148835
143,1.1787893028830754
144,2.3077775927518522
145,1.6543741002706889
146,1.8298585171865867
147,2.6496897503533132
148,1.969221906942048
149,1.689813026811935
150,1.4794335908311078
151,1.3843277173080852
152,2.341904642512212
153,2.6351819748311747
154,1.9164958932622282
155,2.2348743363098507
156,1.2881988714983952
157,1.5208147393770701
158,1.6177411642668156
159,1.0712291818297013
160,1.7534296866475887
161,1.8897699216619246
162,2.305145458079117
163,2.1354188682554387
164,2.019363644824343
165,1.681747170994336
166,2.218101387537101
167,1.7869353878401133
168,1.1204509648866718
169,1.4634303491166785
170,1.7416478984650534
171,2.5278715857079623
172,2.336519158680837
173,1.7915150536624058
174,2.019664503449078
175,1.9535495990878957
176,1.8074055902739512
177,1.8231377279093008
178,1.120594597812037
179,1.527125404377861
180,2.081430750858345
181,1.9720624544356269
182,1.5864621665563883
183,2.0513726792702505
184,1.9983380822251473
185,1.9280919780190215
186,1.1189724465805455
187,2.2573318843673578
188,1.7428395540454544
189,1.9940142867490693
190,1.500670250971708
191,1.3475524129567624
192,2.041412215912242
193,1.5494605287272385
194,1.393999901562328
195,1.7133152715493414
196,1.617739043905653
